id,title,url,date
1290,Revert some ReportListUtils things. Replace LHN with OptionsList.,https://github.com/Expensify/App/pull/1290,2021-01-22
1221,Revert new GH actions and dependencies,https://github.com/Expensify/App/pull/1221,2021-01-12
1213,Revert dummy PR 1,https://github.com/Expensify/App/pull/1213,2021-01-12
1582,Revert manually to known working version,https://github.com/Expensify/App/pull/1582,2021-02-27
1462,Revert https://github.com/Expensify/Expensify.cash/pull/1425 and echo actor,https://github.com/Expensify/App/pull/1462,2021-02-11
1411,"Revert ""Add Expensify.cash to iOS and Android native share menus""",https://github.com/Expensify/App/pull/1411,2021-02-04
1840,Undo revert of clean staging PR check,https://github.com/Expensify/App/pull/1840,2021-03-17
2581,"Revert ""fix: splash screen slightly jumps""",https://github.com/Expensify/App/pull/2581,2021-04-27
2579,"Revert ""Apply localization to all hard coded text""",https://github.com/Expensify/App/pull/2579,2021-04-26
2550,"Revert ""fix inline code blocks for native platforms""",https://github.com/Expensify/App/pull/2550,2021-04-23
2267,Revert changes introduced by PR 2183,https://github.com/Expensify/App/pull/2267,2021-04-07
3224,"Revert ""Temporarily replace blue with magenta""",https://github.com/Expensify/App/pull/3224,2021-05-28
3223,"Revert ""Temporarily replace green with cyan""",https://github.com/Expensify/App/pull/3223,2021-05-28
3222,"Revert ""Fix - LoginScreen use email keyboard type and disable auto complete""",https://github.com/Expensify/App/pull/3222,2021-05-28
3221,"Revert ""[Snyk] Upgrade react-native-web from 0.14.10 to 0.16.2""",https://github.com/Expensify/App/pull/3221,2021-05-28
3191,"Revert ""[No QA] Move GitHub README from .github/workflows/ to .github/""",https://github.com/Expensify/App/pull/3191,2021-05-27
3183,"Revert ""Add iOS exception handling for beta review""",https://github.com/Expensify/App/pull/3183,2021-05-27
3153,"Revert ""Make easily noticeable temporary change""",https://github.com/Expensify/App/pull/3153,2021-05-26
3152,"Revert ""[CP Testing] Change blue to a vibrant magenta""",https://github.com/Expensify/App/pull/3152,2021-05-26
2907,Revert for deploy testing,https://github.com/Expensify/App/pull/2907,2021-05-13
2899,"Revert ""Revert ""Readme change for testing deploy""""",https://github.com/Expensify/App/pull/2899,2021-05-13
2893,"Revert ""Readme change for testing deploy""",https://github.com/Expensify/App/pull/2893,2021-05-13
2885,"Revert ""Revert ""Revert dummy markdown change""""",https://github.com/Expensify/App/pull/2885,2021-05-13
2880,"Revert ""Revert dummy markdown change""",https://github.com/Expensify/App/pull/2880,2021-05-13
2875,Revert dummy markdown change,https://github.com/Expensify/App/pull/2875,2021-05-13
2872,"Revert ""Revert ""Dummy Markdown change""""",https://github.com/Expensify/App/pull/2872,2021-05-13
2869,"Revert ""Dummy Markdown change""",https://github.com/Expensify/App/pull/2869,2021-05-13
2834,"Revert ""Exclude concierge from iou""",https://github.com/Expensify/App/pull/2834,2021-05-12
2833,"Revert ""fixed modal animations""",https://github.com/Expensify/App/pull/2833,2021-05-12
2663,"Revert ""fix Modal animations""",https://github.com/Expensify/App/pull/2663,2021-05-03
3824,"[CP Staging] Revert ""Fix Desktop - CMD + K is slow and laggy #3601""",https://github.com/Expensify/App/pull/3824,2021-06-30
3816,Revert suppression of touchstart to fix regressions,https://github.com/Expensify/App/pull/3816,2021-06-30
3338,Revert test changes,https://github.com/Expensify/App/pull/3338,2021-06-03
3257,"Revert ""[IOU] Pay with Expensify option""",https://github.com/Expensify/App/pull/3257,2021-06-01
4242,Revert add payment button changes,https://github.com/Expensify/App/pull/4242,2021-07-29
4085,Reverting 3979,https://github.com/Expensify/App/pull/4085,2021-07-15
3969,"Revert ""[Hold] fixed spaces collapsing in Messages""",https://github.com/Expensify/App/pull/3969,2021-07-10
4917,Revert regex changes for :shipit: comment,https://github.com/Expensify/App/pull/4917,2021-08-30
4815,"Revert ""Update StagingDeployCash for manual cherry-picks""",https://github.com/Expensify/App/pull/4815,2021-08-25
5540,"Revert ""[No QA] Update StagingDeployCash for manual cherry-picks""",https://github.com/Expensify/App/pull/5540,2021-09-27
5495,"Revert ""Moves all free plan beta checks to use free plan soft launch beta""",https://github.com/Expensify/App/pull/5495,2021-09-24
5442,"Revert ""Capitalize Save & Continue""",https://github.com/Expensify/App/pull/5442,2021-09-23
5360,"Revert ""Skip showing create for new users if user already has a workspace""",https://github.com/Expensify/App/pull/5360,2021-09-20
5288,Revert PR #5037,https://github.com/Expensify/App/pull/5288,2021-09-16
5160,"Revert ""Fix: Reduced Emojipicker landscape modal height""",https://github.com/Expensify/App/pull/5160,2021-09-09
6548,"Revert ""Remove div usage in Onfido Web""",https://github.com/Expensify/App/pull/6548,2021-11-30
6523,"Revert ""Supports big screens mobile devices for popover menu""",https://github.com/Expensify/App/pull/6523,2021-11-30
6441,"Revert ""Merge pull request #6268 from azimgd/fix-inverted-list""",https://github.com/Expensify/App/pull/6441,2021-11-23
