id,title,url,merged_at
1357,Report action fix,https://github.com/Expensify/App/pull/1357,2021-01-29
1355,Upload attachment on `Enter` keypress,https://github.com/Expensify/App/pull/1355,2021-01-28
1354,Add more logs to help debug random sign outs,https://github.com/Expensify/App/pull/1354,2021-01-29
1353,Add lastMessageText to a report to prep chat preview line issue,https://github.com/Expensify/App/pull/1353,2021-01-29
1346,Add @CLABotify,https://github.com/Expensify/App/pull/1346,2021-01-28
1344,Removed comments from .env.example,https://github.com/Expensify/App/pull/1344,2021-01-29
1329,"Add background color for avatars so that a ""placeholder"" appears while the avatar image is loading",https://github.com/Expensify/App/pull/1329,2021-01-26
1327,Add OptionSelector and NewGroup page,https://github.com/Expensify/App/pull/1327,2021-01-28
1326,Fix web deploy issues w/ python/pip,https://github.com/Expensify/App/pull/1326,2021-01-26
1325,Create Right-Docked Settings Modal,https://github.com/Expensify/App/pull/1325,2021-01-27
1323,Upgrade pip3 during web deploy workflow,https://github.com/Expensify/App/pull/1323,2021-01-25
1321,Use correct font and weight for the chat header,https://github.com/Expensify/App/pull/1321,2021-01-26
1320,Fixing the LHN width and font sizes,https://github.com/Expensify/App/pull/1320,2021-01-25
1317,Support for mergeCollection,https://github.com/Expensify/App/pull/1317,2021-01-27
1316,new: added Meta tags,https://github.com/Expensify/App/pull/1316,2021-01-28
1315,Fix Pusher Re-Authentication bug,https://github.com/Expensify/App/pull/1315,2021-01-26
1313,Remove all chats with no messages from the LHN,https://github.com/Expensify/App/pull/1313,2021-01-25
1312,Make PressableWithSecondaryInteraction into a wrapper instead of a HOC,https://github.com/Expensify/App/pull/1312,2021-01-26
1308,fixed padding issue for  textInputCompose on Android,https://github.com/Expensify/App/pull/1308,2021-01-22
1303,Stop using whiteSpace and wordBreak as native styles,https://github.com/Expensify/App/pull/1303,2021-01-21
1300,Update CLA assistant to check for newlines/spaces,https://github.com/Expensify/App/pull/1300,2021-01-21
1297,Cleaning up Settings page styles,https://github.com/Expensify/App/pull/1297,2021-01-21
1293,Close attachment modal on escape,https://github.com/Expensify/App/pull/1293,2021-01-26
1291,Bump react-native-onyx version,https://github.com/Expensify/App/pull/1291,2021-01-20
1290,Revert some ReportListUtils things. Replace LHN with OptionsList.,https://github.com/Expensify/App/pull/1290,2021-01-22
1286,Changed CreateMenu modal for larger screens,https://github.com/Expensify/App/pull/1286,2021-01-21
1285,Only fire reconnection callbacks when Pusher re-subscribes not on first subscription,https://github.com/Expensify/App/pull/1285,2021-01-20
1284,Fix JS error on personal details,https://github.com/Expensify/App/pull/1284,2021-01-21
1279,Fix bad merge that is breaking small screens,https://github.com/Expensify/App/pull/1279,2021-01-20
1276,Remove comment from env to fix iOS builds,https://github.com/Expensify/App/pull/1276,2021-01-19
1274,Remove SidebarBottom,https://github.com/Expensify/App/pull/1274,2021-01-20
1271,Update to XCode 12.3 for iOS build and deploy workflow,https://github.com/Expensify/App/pull/1271,2021-01-19
1269,Move JS and React style guides to Expensify.cash,https://github.com/Expensify/App/pull/1269,2021-01-20
1268,Issue 1228,https://github.com/Expensify/App/pull/1268,2021-01-30
1261,Setting Page,https://github.com/Expensify/App/pull/1261,2021-01-19
1260,Implement full width sidebar,https://github.com/Expensify/App/pull/1260,2021-01-19
1259,Refactor AppState to pusher:subscription_succeeded,https://github.com/Expensify/App/pull/1259,2021-01-18
1256,Move font-face declarations to a separate CSS file,https://github.com/Expensify/App/pull/1256,2021-01-20
1253,Added Sidebar CreateMenu Drawer,https://github.com/Expensify/App/pull/1253,2021-01-19
1252,Add ReportListUtils and unit tests,https://github.com/Expensify/App/pull/1252,2021-01-19
1250,LastReadActionID cleanup,https://github.com/Expensify/App/pull/1250,2021-01-14
1247,Hide the Search Input and Display when Touching Magnifying Glass #1230,https://github.com/Expensify/App/pull/1247,2021-01-15
1246,Use setInterval instead of setTimeout that calls itself agian,https://github.com/Expensify/App/pull/1246,2021-01-15
1243,Specify ruby version in android build workflow,https://github.com/Expensify/App/pull/1243,2021-01-14
1239,Bump react-native-web to 0.14.1,https://github.com/Expensify/App/pull/1239,2021-01-14
1236,[No QA] Add Testing README,https://github.com/Expensify/App/pull/1236,2021-01-14
1235,chg: Moved Avatar to sidebar header top,https://github.com/Expensify/App/pull/1235,2021-01-14
1233,Added Floating Action Button,https://github.com/Expensify/App/pull/1233,2021-01-14
1231,Remove isViaExpensifyCash,https://github.com/Expensify/App/pull/1231,2021-01-13
1226,Fix NPM version bump race condition V2,https://github.com/Expensify/App/pull/1226,2021-01-22
1221,Revert new GH actions and dependencies,https://github.com/Expensify/App/pull/1221,2021-01-12
1219,Use relative path for action (not workflow),https://github.com/Expensify/App/pull/1219,2021-01-12
1217,Add master ref to absolute path for local github action,https://github.com/Expensify/App/pull/1217,2021-01-12
1216,Use hardcoded repo name in GH action,https://github.com/Expensify/App/pull/1216,2021-01-12
1215,Use double braces for environment vars,https://github.com/Expensify/App/pull/1215,2021-01-12
1214,Use absolute path for local GH actions,https://github.com/Expensify/App/pull/1214,2021-01-12
1213,Revert dummy PR 1,https://github.com/Expensify/App/pull/1213,2021-01-12
1212,Make dummy change to README,https://github.com/Expensify/App/pull/1212,2021-01-11
1211,Replace isExpensifyCash param for sign up and tweak platform param for graphite timing,https://github.com/Expensify/App/pull/1211,2021-01-12
1208,Rename ModalHeader to HeaderWithCloseButton Refactor,https://github.com/Expensify/App/pull/1208,2021-01-12
1205,Improve the PR template for adding screenshots for all platforms,https://github.com/Expensify/App/pull/1205,2021-01-11
1201,Fix issues with network queue during sign in,https://github.com/Expensify/App/pull/1201,2021-01-14
1200,chore: Improved error messages for sign-in flow,https://github.com/Expensify/App/pull/1200,2021-01-19
1195,Follow up to reauthentication automated test PR,https://github.com/Expensify/App/pull/1195,2021-01-11
1193,Add write a proposal in the issue before submitting a PR,https://github.com/Expensify/App/pull/1193,2021-01-09
1192,Fix switching to a chat with a saved draft,https://github.com/Expensify/App/pull/1192,2021-01-11
1191,Move apple information into environment variables,https://github.com/Expensify/App/pull/1191,2021-01-07
1188,Improve Expensicon lib,https://github.com/Expensify/App/pull/1188,2021-01-26
1187,Make sure that original API command promise callbacks run after authToken is refreshed,https://github.com/Expensify/App/pull/1187,2021-01-08
1185,Added charset meta tag to document template,https://github.com/Expensify/App/pull/1185,2021-01-07
1174,Update typingStatus to the same format when the request is coming from e.com,https://github.com/Expensify/App/pull/1174,2021-01-06
1171,[No QA] Emphasize commit signing in contributing guide,https://github.com/Expensify/App/pull/1171,2021-01-05
1169,Update Example ENV for Expensify Employees to use their local API ,https://github.com/Expensify/App/pull/1169,2021-01-05
1168,Fixed MultipleAvatars,https://github.com/Expensify/App/pull/1168,2021-01-05
1164,Add a note about style fixers to contributing guidelines,https://github.com/Expensify/App/pull/1164,2021-01-05
1162,Fix e.cash API,https://github.com/Expensify/App/pull/1162,2021-01-04
1156,Truncate Header Text if the chat participants more than two lines. Ad…,https://github.com/Expensify/App/pull/1156,2021-01-12
1154,Patched the Expensify-common,https://github.com/Expensify/App/pull/1154,2021-01-04
1153,[No QA] Add Pusher Automated Tests,https://github.com/Expensify/App/pull/1153,2021-01-18
1152,Automated test to make sure that Authenticate is called when authToken expires,https://github.com/Expensify/App/pull/1152,2021-01-07
1146,1037 Chat / Allow charts originating in Google to be copied and pasted directly into Chat,https://github.com/Expensify/App/pull/1146,2021-01-11
1130,Enable SVG image assets,https://github.com/Expensify/App/pull/1130,2021-01-05
1127,Upgrade Gradle Distribution to 6.8,https://github.com/Expensify/App/pull/1127,2021-01-19
1125,Enable external contributors to run without any setup,https://github.com/Expensify/App/pull/1125,2021-01-04
1123,added multipleAvatars,https://github.com/Expensify/App/pull/1123,2021-01-04
1117,Enable comma-dangle ESLint rule,https://github.com/Expensify/App/pull/1117,2021-01-04
1071,send button bug resolved,https://github.com/Expensify/App/pull/1071,2021-01-08
1036,Prompt error on iOS when camera access is disallowed,https://github.com/Expensify/App/pull/1036,2021-01-04
963,Increase storage on Android,https://github.com/Expensify/App/pull/963,2021-01-11
931,Fix npm version race condition,https://github.com/Expensify/App/pull/931,2021-01-12
741,Utilize reportAction.clientGUID to prevent sequenceNumber mismatch,https://github.com/Expensify/App/pull/741,2021-01-28
1582,Revert manually to known working version,https://github.com/Expensify/App/pull/1582,2021-02-27
1581,Build native versioning code from scratch,https://github.com/Expensify/App/pull/1581,2021-02-27
1578,Fix conditional in updateNativeVersion function,https://github.com/Expensify/App/pull/1578,2021-02-27
1565,Extract ReportActionContextMenuItem component from the ReportActionContextMenu,https://github.com/Expensify/App/pull/1565,2021-02-26
1557,[IS-1500] Fixed compose field alignment issue,https://github.com/Expensify/App/pull/1557,2021-02-25
1555,Adding isAppInstalled logic,https://github.com/Expensify/App/pull/1555,2021-02-25
1554,[No QA] Remove unused empty files,https://github.com/Expensify/App/pull/1554,2021-02-24
1547,Add UserSettings functions to API.js and User.js,https://github.com/Expensify/App/pull/1547,2021-02-23
1545,Update popover modal type,https://github.com/Expensify/App/pull/1545,2021-02-23
1540,Tweak CLA to run on PR comments OR PR target,https://github.com/Expensify/App/pull/1540,2021-02-22
1533,desktop title bar customization,https://github.com/Expensify/App/pull/1533,2021-02-22
1530,Only run deploy workflows for OSBotify,https://github.com/Expensify/App/pull/1530,2021-02-20
1529,LHN - Get Default Avatar for new chats,https://github.com/Expensify/App/pull/1529,2021-02-22
1527,"Only run CLA on PR comments, not on issue comments",https://github.com/Expensify/App/pull/1527,2021-02-22
1523,Improve search functions to match multiple names,https://github.com/Expensify/App/pull/1523,2021-02-22
1521,Simplify the PDF renderer for the Web,https://github.com/Expensify/App/pull/1521,2021-02-25
1519,Move create temp login logic to it's own function,https://github.com/Expensify/App/pull/1519,2021-02-22
1518,[ISSUE-1481] encoded characters,https://github.com/Expensify/App/pull/1518,2021-02-22
1515,fix some documentation typos and a string,https://github.com/Expensify/App/pull/1515,2021-02-25
1512,Clean up SidebarScreen. Decouple from HomePage.,https://github.com/Expensify/App/pull/1512,2021-02-23
1507,"Remove ModalWithHeader to so that all ""screens"" are self-contained",https://github.com/Expensify/App/pull/1507,2021-02-19
1506,Move deploy specifics to github actions for desktop builds,https://github.com/Expensify/App/pull/1506,2021-02-19
1497,Changing unread favicon,https://github.com/Expensify/App/pull/1497,2021-02-18
1491,Tugbadogan display names instead of emails,https://github.com/Expensify/App/pull/1491,2021-02-22
1489,Retry requests that are skipped during re-authentication. Stop logging users out if fetch() fails while re-authenticating.,https://github.com/Expensify/App/pull/1489,2021-02-19
1486,Refactor SafeAreaContext / Clean up,https://github.com/Expensify/App/pull/1486,2021-02-18
1483,Remove unnecessary empty line before .then,https://github.com/Expensify/App/pull/1483,2021-02-16
1478,Add server logs to help diagnose report data not updating,https://github.com/Expensify/App/pull/1478,2021-02-16
1473,Add email parameter to all network requests to include email in server logs,https://github.com/Expensify/App/pull/1473,2021-02-15
1470,Added Hot reload on desktop platform,https://github.com/Expensify/App/pull/1470,2021-02-20
1468,Remove exitTo feature from Expensify.cash,https://github.com/Expensify/App/pull/1468,2021-02-16
1465,Show users in from your private domain in search even if you don't have an existing conversation,https://github.com/Expensify/App/pull/1465,2021-02-17
1463,Added Hover effect on Sidebar rows,https://github.com/Expensify/App/pull/1463,2021-02-12
1462,Revert https://github.com/Expensify/Expensify.cash/pull/1425 and echo actor,https://github.com/Expensify/App/pull/1462,2021-02-11
1460,Use OSBotify instead of botify,https://github.com/Expensify/App/pull/1460,2021-02-11
1455,Move Search to a RightDockedModal,https://github.com/Expensify/App/pull/1455,2021-02-11
1454,Upgrade bumpVersion Github Action to manage native versions too.,https://github.com/Expensify/App/pull/1454,2021-02-27
1451,Add priority mode setting to Onyx,https://github.com/Expensify/App/pull/1451,2021-02-10
1442,Reduce the JS bundle size,https://github.com/Expensify/App/pull/1442,2021-02-18
1437,Update JS-Libs to support `-=+.` in link regex,https://github.com/Expensify/App/pull/1437,2021-02-09
1434,Add webpack bundle analyzer to help minimize JS bundle size,https://github.com/Expensify/App/pull/1434,2021-02-11
1433,Implemented Search View,https://github.com/Expensify/App/pull/1433,2021-02-08
1432,Speed up chat switching (and other stuff) by reducing component re-renders,https://github.com/Expensify/App/pull/1432,2021-02-10
1431,Update CLA bot version,https://github.com/Expensify/App/pull/1431,2021-02-10
1430,Update desktop icon,https://github.com/Expensify/App/pull/1430,2021-02-10
1428,Create concierge chat upon initial chat fetch if no other chats found,https://github.com/Expensify/App/pull/1428,2021-02-16
1427,Get native versions resynced with package.json,https://github.com/Expensify/App/pull/1427,2021-02-09
1426,Fixed Create Group button showing without selections,https://github.com/Expensify/App/pull/1426,2021-02-08
1425,Only run deployment for botify user,https://github.com/Expensify/App/pull/1425,2021-02-11
1423,Update Gemfile to use ~> operator,https://github.com/Expensify/App/pull/1423,2021-02-09
1420,fix: Chat preview line shouldn't show in New Group Page,https://github.com/Expensify/App/pull/1420,2021-02-05
1419,Implemented New Chat Page,https://github.com/Expensify/App/pull/1419,2021-02-05
1411,"Revert ""Add Expensify.cash to iOS and Android native share menus""",https://github.com/Expensify/App/pull/1411,2021-02-04
1404,Fix tooltip after withWindowDimensions update,https://github.com/Expensify/App/pull/1404,2021-02-04
1403,"Allow users to log in with sms logins without appending ""@expensify.com"" ",https://github.com/Expensify/App/pull/1403,2021-02-09
1400,replace encrypted ios json file,https://github.com/Expensify/App/pull/1400,2021-02-04
1398,Add missing comma,https://github.com/Expensify/App/pull/1398,2021-02-04
1395,Add encrypted App Store Connect API json file and use for fastlane upload,https://github.com/Expensify/App/pull/1395,2021-02-03
1394,Keeping sequenceNumber as numbers,https://github.com/Expensify/App/pull/1394,2021-02-04
1392,New Group Page Reformulated,https://github.com/Expensify/App/pull/1392,2021-02-05
1387,Make polyfill for realpath,https://github.com/Expensify/App/pull/1387,2021-02-04
1384,Add our custom monospace font to web,https://github.com/Expensify/App/pull/1384,2021-02-03
1382,"Add more logs to try to resolve ""cb() not called"" error",https://github.com/Expensify/App/pull/1382,2021-02-04
1381,Hide typing indicator if the current user is typing on another platform,https://github.com/Expensify/App/pull/1381,2021-02-02
1380,Standardize use of Dimensions by encouraging use of withWindowDimensions,https://github.com/Expensify/App/pull/1380,2021-02-03
1377,Added LastMessage to chat list on sidebar,https://github.com/Expensify/App/pull/1377,2021-02-05
1375,Fix bumpVersion GH action,https://github.com/Expensify/App/pull/1375,2021-02-02
1371,Clean up attachment preview screen for non-previewable items,https://github.com/Expensify/App/pull/1371,2021-02-01
1369,Use compose to chain HOCs,https://github.com/Expensify/App/pull/1369,2021-02-01
1367,Animation issue in Setting Modal,https://github.com/Expensify/App/pull/1367,2021-02-08
1361,Add Expensify.cash to iOS and Android native share menus,https://github.com/Expensify/App/pull/1361,2021-02-04
1359,[HOLD] Add betas to e.cash,https://github.com/Expensify/App/pull/1359,2021-02-01
1352,Bump react-native-onyx version,https://github.com/Expensify/App/pull/1352,2021-02-01
1350,Update LoginFormNarrow.js,https://github.com/Expensify/App/pull/1350,2021-02-18
1347,Fix Issue #1339 Add pin icon to left hand navigation menu for chat rows that are pinned,https://github.com/Expensify/App/pull/1347,2021-02-01
1343,[E.cash - Group Chats] Added a plus sign to group avatars,https://github.com/Expensify/App/pull/1343,2021-02-18
1335,[No QA] Create React-Native Tooltip,https://github.com/Expensify/App/pull/1335,2021-02-03
1307,Design update on FAB and CreateMenu components,https://github.com/Expensify/App/pull/1307,2021-02-01
1258,Add transition between Chats and Search views,https://github.com/Expensify/App/pull/1258,2021-02-01
1186,Display mini comment actions menu,https://github.com/Expensify/App/pull/1186,2021-02-10
2162,Update Sdk Version to 30,https://github.com/Expensify/App/pull/2162,2021-03-31
2158,Padding issue on Chat rows.,https://github.com/Expensify/App/pull/2158,2021-03-31
2157,Alphabetize and shorten pronouns,https://github.com/Expensify/App/pull/2157,2021-03-30
2148,Fix visible scroll bars on web and non scrollable content on mWeb,https://github.com/Expensify/App/pull/2148,2021-03-30
2146,[No QA] Fix various propType warnings,https://github.com/Expensify/App/pull/2146,2021-03-30
2145,Fix settings back button on Android,https://github.com/Expensify/App/pull/2145,2021-03-30
2144,Update expensify-common hash,https://github.com/Expensify/App/pull/2144,2021-03-31
2143,[No QA] Add new style rule for refs in constructor,https://github.com/Expensify/App/pull/2143,2021-03-31
2134,Add image view container style,https://github.com/Expensify/App/pull/2134,2021-03-29
2130, Implementation of library to convert a phone number into a locally formatted phone number,https://github.com/Expensify/App/pull/2130,2021-03-30
2115,Remove timezone migration,https://github.com/Expensify/App/pull/2115,2021-03-26
2113,Fixed Pressing `Enter` immediately after pasting a image in the Compose Box closes the modal. ,https://github.com/Expensify/App/pull/2113,2021-03-27
2110,Fix issue where IOUAction causes crash in empty chat,https://github.com/Expensify/App/pull/2110,2021-03-29
2103,fix-new-chat,https://github.com/Expensify/App/pull/2103,2021-03-31
2101,Fix Mobile Web Scrolling in OptionsList,https://github.com/Expensify/App/pull/2101,2021-03-26
2099,Fix missing avatars,https://github.com/Expensify/App/pull/2099,2021-03-29
